net,from_ref,from_pin,to_ref,to_pin,class,notes
+5V,J1,2,U10,VIN,power,header 5V -> inrush load switch
+5V,J1,4,U10,VIN,power,parallel 5V feed
+5V_SW,U10,VOUT,U5,VIN,power,soft-started 5V -> 3V3 reg in (E21/buck-boost retired)
GND,J1,6,*,GND,power,common ground (pins 6/9/14/20/25/30/34/39)
+3V3,U5,VOUT,U12,VIN,power,3V3 -> radio-rail load switch
+3V3_RAD,U12,VOUT,U1,VBAT,power,module VBAT (pin10) 3.0-3.6V
+3V3_RAD,U12,VOUT,U1,VBAT_TX,power,module VBAT_TX (pin24); ~330mA TX burst
+3V3_RAD,U12,VOUT,U1,VDDIO,power,module VDDIO (pin22) host IO 3.3V
+3V3,U5,VOUT,U3,VCC,power,3V3 -> NEO-M9N (via FB1 -> +3V3_GNSS)
+3V3,U5,VOUT,U13,VCC,power,3V3 -> RV-3028 RTC
+3V3,U5,VOUT,U11,VDD,power,3V3 -> supervisor
3V3_PI,J1,1,U6,VCC,power,HAT ID EEPROM powered from Pi 3V3 (readable at boot)
SPI_MOSI,J1,19,U1,16,spi,GPIO10 SPI0 MOSI -> module SPI_MOSI (pin16)
SPI_MISO,J1,21,U1,12,spi,GPIO9 SPI0 MISO -> module SPI_MISO (pin12)
SPI_SCLK,J1,23,U1,17,spi,GPIO11 SPI0 SCLK -> module SPI_SCK (pin17)
SPI_CS_MM,J1,24,U1,13,spi,GPIO8 SPI0 CS0 -> module SPI_CS (pin13) (OpenMANET)
MM_IRQ,J1,29,U1,14,gpio,GPIO5 -> module SPI_INT (pin14) (OpenMANET spi-irq-gpios)
MM_RESET_N,J1,11,U1,4,gpio,GPIO17 + supervisor U11 -> module RESET_N (pin4)
MM_PWR1,J1,16,U12,EN,gpio,GPIO23 -> radio-rail load switch enable (power-gpios)
MM_PWR2,J1,18,U1,5,gpio,GPIO24 -> module WAKE (pin5) (power-gpios)
RF_900,U1,2,C35,1,rf,radio ANT (M20 integ.PA / MF15457 ~27dBm) -> C35 DC-block
ANT_900,C35,2,J3,1,rf,DC-block -> ANT_900 -> U.FL #2; FL2 LPF=DNP; D30 ESD
GNSS_RXD,J1,8,U3,21,uart,GPIO14 Pi TXD0 -> GNSS RXD (pin21)
GNSS_TXD,J1,10,U3,20,uart,GPIO15 GNSS TXD (pin20) -> Pi RXD0
GNSS_PPS,J1,12,U3,TIMEPULSE,gpio,GPIO18 1 PPS time sync (disciplines RTC)
GNSS_SDA,J1,3,U3,18,i2c,GPIO2 I2C1 SDA -> GNSS SDA (pin18) + RTC + bus
GNSS_SCL,J1,5,U3,19,i2c,GPIO3 I2C1 SCL -> GNSS SCL (pin19) + RTC + bus
RTC_SDA,U13,SDA,J1,3,i2c,RV-3028 on I2C1 (addr 0x52)
RTC_SCL,U13,SCL,J1,5,i2c,RV-3028 on I2C1
RTC_INT,U13,INT,J1,37,gpio,RV-3028 INT/CLKOUT -> GPIO26 (pin37) optional
RTC_VBAT,U13,VBACKUP,BT1,1,power,trickle-charged solder-tab cell (MS621FE)
GNSS_RESET_N,J1,13,U3,RESET_N,gpio,GPIO27 GNSS reset (optional)
GNSS_EXTINT,J1,15,U3,EXTINT,gpio,GPIO22 GNSS EXTINT (optional)
RF_GNSS,J2,1,U3,11,rf,U.FL #1 -> NEO-M9N RF_IN (pin11); C44 DC-block; D8 ESD
ANT_BIAS,U3,VCC_RF,J2,1,power,NEO-M9N VCC_RF (pin9) -> L40 bias -> U.FL center
+3V3_GNSS,FB1,2,U3,VCC,power,filtered 3V3 to GNSS via ferrite FB1
ID_SD,J1,27,U6,SDA,i2c,HAT ID EEPROM data
ID_SC,J1,28,U6,SCL,i2c,HAT ID EEPROM clock
LED_FIX,J1,32,D_FIX,A,gpio,GPIO12 -> GNSS-fix LED (R72 1k)
LED_TX,J1,33,D_TX,A,gpio,host GPIO13 -> TX-active LED (R71 1k); E21 source retired
LED_PWR,U5,VOUT,D_PWR,A,ind,+3V3 -> power-good LED (R70 1k)
3V3_PI,J1,17,NET,REF,power,Pi 3V3 reference (and EEPROM supply)
